Project,ID,p,m,y
51625,212828,100.00,2020,09
81602,223025,,2020,09
51625,237421,100.00,2020,09
51625,239154,100.00,2020,09
51625,221205,100.00,2020,09
51625,237724,100.00,2020,09
51625,227560,100.00,2020,09
51592,210928,100.00,2020,09
51625,238539,100.00,2020,09
81602,231388,100.00,2020,09
51719,212820,100.00,2020,09
51625,212826,100.00,2020,09
51625,229157,100.00,2020,09
51625,242318,100.00,2020,09
51616,212741,100.00,2020,09
51647,233175,100.00,2020,09
51625,238583,100.00,2020,09
81602,225302,100.00,2020,09
51625,223616,100.00,2020,09
51625,242334,100.00,2020,09
51647,220498,100.00,2020,09
51442,217850,100.00,2020,09
51592,229895,100.00,2020,09
51625,237415,100.00,2020,09
51442,205636,100.00,2020,09
51625,218339,100.00,2020,09
51442,233087,100.00,2020,09
51625,238537,100.00,2020,09
51720,234256,100.00,2020,09
51625,238538,100.00,2020,09
81602,224231,100.00,2020,09
51625,212819,100.00,2020,09
51625,242336,100.00,2020,09
81602,243640,100.00,2020,09
51625,243642,100.00,2020,09
51698,248327,100.00,2020,09
51806,228247,100.00,2020,09
51625,237423,100.00,2020,09
51625,239130,100.00,2020,09
51442,204094,100.00,2020,09
81602,212767,100.00,2020,09
51736,220581,100.00,2020,09
51625,242288,100.00,2020,09
